Name,State,Total_Population,Hispanic_Latino,White_Alone,Black_Alone,Asian_Alone,Pacific_Islander_Alone,Total_Housing_Units,State_FIPS,Place_FIPS,Hispanic_Latino_Pct,White_Alone_Pct,Black_Alone_Pct,Asian_Alone_Pct,Pacific_Islander_Alone_Pct
"Jurupa Valley city, California",California,105053,74047,19187,3529,5281,237,28734,06,37692,70.49,18.26,3.36,5.03,0.23
"Kelly Ridge CDP, California",California,3006,329,2283,31,79,7,1432,06,38024,10.94,75.95,1.03,2.63,0.23
"Kelseyville CDP, California",California,3382,1547,1581,11,27,3,1330,06,38044,45.74,46.75,0.33,0.8,0.09
"Kennedy CDP, California",California,3223,2457,166,205,300,4,879,06,38065,76.23,5.15,6.36,9.31,0.12
"Kensington CDP, California",California,5428,391,3690,96,723,2,2334,06,38086,7.2,67.98,1.77,13.32,0.04
"Kentfield CDP, California",California,6808,453,5530,33,313,5,2674,06,38114,6.65,81.23,0.48,4.6,0.07
"Kerman city, California",California,16016,12522,1910,69,1202,1,4512,06,38226,78.18,11.93,0.43,7.5,0.01
"Kernville CDP, California",California,1549,156,1251,9,24,1,1117,06,38310,10.07,80.76,0.58,1.55,0.06
"Kettleman City CDP, California",California,1242,1206,26,0,0,0,366,06,38394,97.1,2.09,0.0,0.0,0.0
"Keyes CDP, California",California,5672,3853,1334,42,228,21,1671,06,38422,67.93,23.52,0.74,4.02,0.37
"King City city, California",California,13332,11936,931,30,232,12,3465,06,38520,89.53,6.98,0.23,1.74,0.09
"Kings Beach CDP, California",California,3563,1699,1671,5,68,8,2393,06,38548,47.68,46.9,0.14,1.91,0.22
"Kingsburg city, California",California,12380,5974,5371,49,408,12,4415,06,38562,48.26,43.38,0.4,3.3,0.1
"Klamath CDP, California",California,1088,81,426,3,2,3,560,06,38702,7.44,39.15,0.28,0.18,0.28
"Knightsen CDP, California",California,1596,587,883,8,25,2,556,06,38772,36.78,55.33,0.5,1.57,0.13
"Knights Landing CDP, California",California,1117,780,276,9,12,0,366,06,38800,69.83,24.71,0.81,1.07,0.0
"La Cañada Flintridge city, California",California,20573,1717,11127,129,6408,2,7118,06,39003,8.35,54.09,0.63,31.15,0.01
"La Crescenta-Montrose CDP, California",California,19997,2708,10461,139,5632,12,7452,06,39045,13.54,52.31,0.7,28.16,0.06
"La Cresta CDP, California",California,8787,6291,1731,397,81,8,2839,06,39052,71.59,19.7,4.52,0.92,0.09
"Ladera CDP, California",California,1557,105,1144,4,163,0,551,06,39094,6.74,73.47,0.26,10.47,0.0
"Ladera Heights CDP, California",California,6654,506,1014,4231,351,2,2873,06,39108,7.6,15.24,63.59,5.28,0.03
"Ladera Ranch CDP, California",California,26170,3607,17039,253,3389,28,8139,06,39114,13.78,65.11,0.97,12.95,0.11
"Lafayette city, California",California,25391,2075,17950,170,3159,20,9999,06,39122,8.17,70.69,0.67,12.44,0.08
"Laguna Beach city, California",California,23032,2155,18328,181,961,18,12973,06,39178,9.36,79.58,0.79,4.17,0.08
"Laguna Hills city, California",California,31374,7489,16849,420,4715,41,11426,06,39220,23.87,53.7,1.34,15.03,0.13
